Date,FB,AMZN,AAPL,NFLX,GOOGL,FB_Ret,AMZN_Ret,AAPL_Ret,NFLX_Ret,GOOGL_Ret,NASDAQ,NASDAQ_Ret
2016-04-06,113.71,602.08,25.88,104.83,768.07,0.01327749064337902,0.027194868120244298,0.010148321623731471,-0.0010482180293500676,0.01252356407450872,4920.72,0.01585283024321149
2016-04-07,113.64,591.43,25.32,104.45,760.12,-0.0006156010904933008,-0.017688679245283168,-0.02163833075734156,-0.003624916531527189,-0.010350619084198098,4848.37,-0.014703132874863911
2016-04-08,110.63,594.6,25.35,103.81,759.47,-0.026487152411122872,0.005359890435047364,0.0011848341232227886,-0.0061273336524653174,-0.0008551281376624197,4850.69,0.0004785113347371972
2016-04-11,108.99,595.93,25.43,102.68,757.54,-0.014824188737232237,0.002236797847292138,0.0031558185404338968,-0.010885271168480816,-0.002541245868829645,4833.4,-0.0035644413475196535
2016-04-12,110.61,603.17,25.76,106.98,764.32,0.014863748967795187,0.012149077911835391,0.012976799056232837,0.04187767822360722,0.008950022441059247,4872.09,0.008004717176314902
2016-04-13,110.51,614.82,26.14,109.65,771.91,-0.0009040773890244268,0.01931462108526638,0.01475155279503104,0.0249579360628156,0.00993039564580278,4947.42,0.01546153704057196
2016-04-14,110.84,620.75,26.15,110.42,775.39,0.002986155099085952,0.009645099378679856,0.0003825554705432221,0.007022343821249333,0.004508297599461032,4945.89,-0.00030925209503129825
2016-04-15,109.64,625.89,25.63,111.51,780.0,-0.01082641645615301,0.008280306081353217,-0.0198852772466539,0.009871400108675932,0.005945395220469774,4938.22,-0.0015507825689613508
2016-04-18,110.45,635.35,25.07,108.4,787.68,0.0073878146661803265,0.01511447698477375,-0.02184939523995311,-0.027889875347502424,0.009846153846153838,4960.02,0.004414546132007091
2016-04-19,112.29,627.9,24.94,94.34,776.25,0.016659121774558642,-0.011725820413945098,-0.00518548065416824,-0.12970479704797044,-0.014510968921389368,4940.33,-0.0039697420574917874
2016-04-20,112.42,632.99,24.99,96.77,774.92,0.0011577166265919205,0.008106386367255913,0.00200481154771448,0.02575789696841202,-0.0017133655394525606,4948.13,0.0015788418992253028
2016-04-21,113.44,631.0,24.72,94.98,780.0,0.009073118662159764,-0.003143809538855291,-0.010804321728691502,-0.01849746822362297,0.006555515408042112,4945.89,-0.0004526962711165483
2016-04-22,110.56,620.5,24.65,95.9,737.77,-0.02538787023977429,-0.01664025356576859,-0.0028317152103559677,0.009686249736786669,-0.05414102564102563,4906.23,-0.008018779228814332
2016-04-25,110.1,626.2,24.51,93.56,742.21,-0.0041606367583213455,0.009186140209508586,-0.00567951318458404,-0.024400417101147043,0.006018135733358632,4895.79,-0.002127906763441545
2016-04-26,108.76,616.88,24.34,92.43,725.37,-0.012170753860127115,-0.014883423826253628,-0.006935944512443948,-0.012077811030354768,-0.02268899637568889,4888.28,-0.0015339710240840354
2016-04-27,108.89,606.57,22.82,91.04,721.46,0.0011952923869069654,-0.016713137076903032,-0.06244864420706653,-0.015038407443470738,-0.0053903525097536145,4863.14,-0.005142913253741499
2016-04-28,116.73,602.0,22.12,90.28,705.06,0.07199926531361922,-0.007534167532189273,-0.030674846625766805,-0.008347978910369092,-0.022731682976187332,4805.29,-0.011895606542275283
2016-04-29,117.58,659.59,21.87,90.03,707.88,0.007281761329563929,0.09566445182724248,-0.011301989150090395,-0.002769162605228193,0.003999659603438177,4775.36,-0.006228552283004785
2016-05-02,118.57,683.85,21.84,93.11,714.41,0.008419799285592777,0.036780424202913935,-0.001371742112482921,0.034210818616016825,0.00922472735491886,4817.59,0.00884331233666158
2016-05-03,117.43,671.32,22.2,91.54,708.44,-0.0096145736695622,-0.018322731593185648,0.016483516483516425,-0.01686177639351294,-0.00835654596100266,4763.22,-0.011285725850477046
2016-05-04,118.06,670.9,21.97,90.79,711.37,0.005364898237247617,-0.0006256330810940902,-0.010360360360360366,-0.00819313961109902,0.004135847778216961,4725.64,-0.00788962088671108
2016-05-05,117.81,659.09,21.88,89.37,714.71,-0.0021175673386413236,-0.01760321955582045,-0.004096495220755614,-0.0156404890406433,0.004695165666249722,4717.09,-0.0018092787431966961
2016-05-06,119.49,673.95,21.76,90.84,725.18,0.014260249554367109,0.022546237994811147,-0.005484460694698211,0.01644847264182614,0.01464929831679962,4736.16,0.004042746693406318
2016-05-09,119.24,679.75,21.78,90.54,729.13,-0.002092225290819316,0.00860597967208232,0.0009191176470588758,-0.003302509907529672,0.00544692352243592,4750.21,0.002966538292625387
2016-05-10,120.5,703.07,21.93,92.89,739.38,0.010566923851056842,0.03430673041559396,0.00688705234159781,0.025955378838082632,0.014057849766159649,4809.88,0.012561549910425018
2016-05-11,119.52,713.23,21.71,90.02,730.55,-0.008132780082987567,0.014450908159927112,-0.010031919744642015,-0.03089675960813876,-0.011942438259082032,4760.69,-0.010226866366728538
2016-05-12,120.28,717.93,21.2,87.74,728.07,0.006358768406961257,0.006589739635180614,-0.023491478581298963,-0.025327704954454574,-0.003394702621312584,4737.33,-0.004906851737878304
2016-05-13,119.81,709.92,21.24,87.88,724.83,-0.003907549052211468,-0.011157076595211255,0.0018867924528300766,0.001595623432869786,-0.004450121554246178,4717.68,-0.004147906099005061
2016-05-16,118.67,710.66,22.03,89.12,730.3,-0.009515065520407262,0.00104237097137716,0.037193973634651815,0.014110150204824869,0.0075465971331207795,4775.46,0.01224754540367301
2016-05-17,117.35,695.27,21.94,88.63,720.19,-0.011123283053846909,-0.02165592547772488,-0.004085338175215614,-0.00549820466786366,-0.01384362590716126,4715.73,-0.012507695593723
2016-05-18,117.65,697.45,22.19,90.5,721.78,0.002556455048998929,0.0031354725502323877,0.011394712853236122,0.021098950693896112,0.0022077507324453904,4739.12,0.004959995589230104
2016-05-19,116.81,698.52,22.11,89.55,715.31,-0.0071398215044624624,0.0015341601548497508,-0.003605227579991044,-0.010497237569060848,-0.008963950234143425,4712.53,-0.005610746298890912
2016-05-20,117.35,702.8,22.35,92.49,721.71,0.004622891875695423,0.006127240451239802,0.010854816824966251,0.032830820770519235,0.008947169758566353,4769.56,0.012101779723418415
2016-05-23,115.97,696.75,22.63,94.89,717.25,-0.011759693225394052,-0.008608423449060876,0.012527964205816478,0.02594875121634788,-0.006179767496639954,4765.78,-0.0007925259353065428
2016-05-24,117.7,704.2,22.98,97.89,733.03,0.014917651116668209,0.010692500897022006,0.015466195315952282,0.031615554852987726,0.022000697107005918,4861.06,0.019992530079021797
2016-05-25,117.89,708.35,23.38,100.2,738.1,0.0016142735768904792,0.00589321215563765,0.0174064403829417,0.023597916028194943,0.006916497278419698,4894.89,0.006959387458702393
2016-05-26,119.47,714.91,23.57,102.81,736.93,0.013402324200525895,0.009260958565680657,0.008126603934987209,0.026047904191616844,-0.0015851510635416233,4901.77,0.0014055474178173988
2016-05-27,119.38,712.24,23.55,103.3,747.6,-0.0007533271951117858,-0.003734735840875025,-0.0008485362749257598,0.00476607333916923,0.01447898714939022,4933.5,0.006473171935851729
2016-05-31,118.81,722.79,23.44,102.57,748.85,-0.004774669123806308,0.014812422778838432,-0.004670912951167727,-0.007066795740561459,0.0016720171214552606,4948.05,0.002949224688355123
2016-06-01,118.78,719.44,23.11,101.51,748.46,-0.00025250399797993595,-0.004634817858575668,-0.014078498293515485,-0.010334405771667998,-0.0005207985577886376,4952.25,0.000848819231818565
2016-06-02,118.93,728.24,22.93,101.25,744.27,0.0012628388617612618,0.01223173579450676,-0.00778883600173086,-0.002561324007486987,-0.0055981615583999824,4971.36,0.003858852036952909
2016-06-03,118.47,725.54,22.98,99.59,735.86,-0.0038678214075507093,-0.0037075689333186954,0.002180549498473683,-0.016395061728395,-0.01129966275679517,4942.52,-0.005801229442245037
2016-06-06,118.79,726.73,23.15,100.74,730.06,0.0027011057651726844,0.0016401576756623903,0.007397737162750052,0.011547344110854452,-0.00788193406354476,4968.71,0.005298916342270754
2016-06-07,117.76,723.74,23.24,99.89,731.09,-0.00867076353228391,-0.004114320311532471,0.003887688984881122,-0.008437562040897295,0.0014108429444157355,4961.75,-0.0014007659935878491
2016-06-08,118.39,726.64,23.22,97.86,742.93,0.005349864130434812,0.004006963826788557,-0.0008605851979345268,-0.020322354590049045,0.016194996512057136,4974.64,0.0025978737340657254
